,해구번호,유의파고(m),파향(deg),최대파주기(sec),풍속(m/s),풍향(deg)
350,356,1.0,39,6.0,6.4,48
351,357,1.3,37,6.0,6.7,49
352,358,1.3,32,6.0,7.0,52
353,359,1.1,25,5.9,6.3,55
354,360,1.1,41,6.3,5.6,53
355,361,1.2,30,6.3,4.7,54
356,362,1.4,29,6.2,7.5,49
357,363,1.1,16,6.0,6.7,55
358,365,1.4,23,6.4,7.0,45
359,366,1.2,14,6.3,6.0,50
360,367,1.2,4,6.6,7.1,33
361,368,1.3,1,7.2,7.1,40
362,369,1.0,349,6.8,6.9,35
363,370,1.1,8,7.1,6.1,33
364,371,1.0,294,5.8,4.9,33
365,372,0.7,337,6.9,6.1,30
366,374,0.9,262,5.3,2.6,340
367,375,0.8,266,5.5,3.5,330
368,376,0.6,235,5.0,4.4,315
369,377,0.7,246,4.7,6.0,284
370,378,0.8,251,5.0,2.5,286
371,379,0.9,260,5.2,5.6,274
372,380,1.0,265,5.6,7.1,274
373,381,1.1,268,5.7,7.7,270
374,382,1.1,268,5.7,7.5,262
375,384,0.0,241,2.7,1.3,354
376,385,0.0,225,4.0,2.3,340
377,386,0.2,250,3.3,3.0,37
378,387,0.2,237,4.4,1.2,300
379,388,0.1,137,10.0,4.0,270
380,389,0.7,185,7.7,2.2,308
381,390,1.2,203,6.5,1.7,321
382,391,0.0,204,2.7,3.6,214
383,392,0.1,232,2.8,4.4,243
384,393,0.2,278,2.8,5.8,286
385,394,0.2,273,2.9,4.3,294
386,395,0.2,291,4.8,3.4,301
387,396,0.4,220,5.9,4.6,328
388,397,0.4,213,5.9,4.0,317
389,398,0.8,163,8.5,0.6,51
390,399,1.1,190,6.3,1.9,277
391,400,1.3,204,6.4,4.0,265
392,401,0.6,57,5.2,4.6,65
393,402,0.6,60,5.2,4.7,68
394,403,0.7,42,5.2,6.2,61
395,404,0.8,41,5.3,6.6,58
396,405,0.6,40,5.4,6.5,58
397,406,0.7,38,5.6,5.8,50
398,407,0.6,35,5.7,0.5,309
399,408,0.6,33,5.7,3.6,242
400,409,1.5,216,6.4,6.3,254
401,410,0.1,209,3.7,3.3,311
402,411,0.0,21,7.2,3.8,317
403,412,0.1,260,4.0,4.5,288
404,413,0.1,227,4.5,3.8,259
405,414,0.0,238,3.9,4.0,251
406,415,0.9,190,6.3,2.0,21
407,416,1.1,211,6.0,1.6,300
408,417,1.2,193,7.1,7.4,237
409,418,1.6,219,6.2,9.3,244
410,419,1.7,228,6.2,9.5,246
411,420,1.7,233,6.3,9.3,246
412,421,0.2,178,5.6,1.3,314
413,422,0.9,178,6.4,3.5,225
414,423,1.0,188,6.0,5.2,239
415,424,1.2,205,5.8,6.3,237
416,425,1.3,219,5.9,6.5,243
417,426,1.4,227,6.2,6.9,251
418,427,1.5,232,6.3,8.2,255
419,428,1.6,238,6.3,9.0,253
420,429,1.7,242,6.2,9.5,252
421,430,1.7,244,6.2,9.5,250
422,432,0.7,154,8.1,2.5,210
423,433,0.8,166,8.2,3.6,230
424,434,0.9,163,10.0,5.6,231
425,435,1.1,188,6.9,5.6,240
426,436,1.2,206,5.5,6.0,244
427,437,1.3,219,5.7,6.6,246
428,438,1.4,230,5.9,7.3,248
429,439,1.5,239,6.2,7.8,251
430,440,1.6,245,6.3,8.6,254
431,441,1.7,250,6.3,9.0,255
432,442,1.7,252,6.3,9.0,252
433,443,1.7,251,6.3,8.8,247
434,444,0.7,116,10.1,5.4,182
435,445,0.9,143,10.1,5.6,215
436,446,1.0,165,10.1,5.9,240
437,447,1.1,193,10.0,6.5,248
438,448,1.2,216,6.2,6.8,250
439,449,1.3,229,5.4,7.2,250
440,450,1.4,236,5.7,7.4,250
441,451,1.4,244,5.9,7.8,252
442,452,1.5,252,6.2,8.3,255
443,453,1.6,258,6.4,8.4,255
444,454,1.6,260,6.4,8.2,251
445,455,1.6,260,6.3,8.3,247
446,456,1.6,258,6.3,8.5,244
447,457,0.5,37,5.7,1.9,192
448,458,0.6,28,5.7,2.9,201
449,459,0.7,23,5.7,3.4,215
450,460,0.7,15,5.9,3.5,224
451,461,0.7,331,6.0,3.5,227
452,462,0.6,263,6.4,3.2,229
453,463,0.6,238,6.5,4.2,237
454,464,0.6,232,5.1,5.7,243
455,465,0.7,238,4.1,6.2,248
456,466,0.8,247,4.4,6.5,253
457,467,0.8,254,4.7,6.5,256
458,468,0.9,262,4.9,6.8,258
459,469,1.0,268,5.2,7.1,261
460,470,1.0,271,5.6,7.2,258
461,471,1.0,276,5.7,7.3,255
462,472,0.8,275,5.2,7.4,254
463,474,0.9,141,10.1,8.0,218
464,475,1.1,173,10.1,8.4,230
465,476,1.2,199,10.1,7.9,241
466,477,1.2,223,10.0,7.6,247
467,478,1.3,239,8.5,7.5,248
468,479,1.4,249,6.2,7.7,250
469,480,1.4,257,5.7,7.9,255
470,481,1.4,263,6.0,8.2,257
471,482,1.5,267,6.3,8.0,255
472,483,1.5,268,6.4,7.7,250
473,484,1.5,269,6.2,7.8,244
474,485,1.5,270,6.2,7.9,239
475,486,1.5,271,6.7,7.8,237
476,487,0.4,66,6.8,2.8,184
477,488,0.6,44,5.8,3.9,194
478,489,0.6,61,5.9,4.3,206
479,490,0.6,78,6.1,4.4,218
480,491,0.6,155,6.4,4.4,226
481,492,0.6,193,6.8,4.7,232
482,493,0.6,208,7.1,5.1,234
483,494,0.6,222,4.7,5.6,238
484,495,0.6,236,4.0,6.0,242
485,496,0.7,249,4.3,6.1,244
486,497,0.7,258,4.6,6.4,246
487,498,0.8,266,4.9,6.6,250
488,499,0.8,275,5.2,6.7,253
489,500,0.8,284,5.5,6.6,252
490,501,0.8,291,5.6,6.4,249
491,502,0.6,298,5.7,6.2,250
492,503,0.5,300,5.8,5.9,251
493,504,0.3,210,6.5,5.9,250
494,505,0.8,117,10.0,7.4,240
495,506,1.0,142,10.1,8.3,243
496,507,1.0,160,10.1,8.1,247
497,508,1.1,194,10.1,8.1,249
498,509,1.2,248,10.0,8.0,252
499,510,1.2,278,10.0,7.7,255
500,511,1.2,289,10.0,7.6,256
501,512,1.3,289,9.6,7.5,254
502,513,1.3,285,9.1,7.4,250
503,514,1.3,285,8.1,7.3,244
504,515,1.3,285,8.8,7.1,240
505,516,1.3,280,9.4,7.1,238
506,517,1.3,278,9.6,7.3,236
507,518,1.3,277,9.6,7.3,237
508,519,0.2,76,6.6,4.0,178
509,520,0.4,97,7.4,4.5,183
510,521,0.5,110,6.6,4.4,200
511,522,0.5,125,7.0,4.4,214
512,523,0.5,140,7.6,4.5,220
513,524,0.5,155,8.4,4.7,222
514,525,0.5,166,8.9,4.8,226
515,526,0.5,176,9.0,4.9,232
516,527,0.5,190,8.7,5.3,237
517,528,0.6,212,8.3,5.6,240
518,529,0.6,229,7.8,5.8,244
519,530,0.6,247,7.3,5.8,247
520,531,0.6,305,6.7,5.4,248
521,532,0.6,335,6.9,5.2,249
522,533,0.6,349,7.1,5.4,250
523,534,0.5,3,7.4,5.6,250
524,535,0.4,355,9.2,6.0,251
525,536,0.4,7,8.3,6.5,265
526,537,0.8,95,10.1,6.0,258
527,538,0.9,92,10.1,6.7,249
528,539,0.9,91,10.1,6.8,249
529,540,0.9,87,10.1,6.8,251
530,541,1.0,76,10.0,6.9,253
531,542,1.0,66,10.0,6.6,252
532,543,1.0,60,10.0,6.5,251
533,544,1.1,49,9.9,6.4,247
534,545,1.1,34,9.9,6.7,241
535,546,1.2,184,9.8,7.3,235
536,547,1.2,172,9.7,7.5,232
537,548,1.2,150,9.7,7.4,231
538,549,1.2,135,9.6,7.2,232
539,550,1.2,125,9.6,7.1,234
540,551,0.1,112,8.1,5.3,169
541,552,0.4,133,8.7,4.8,188
542,553,0.5,129,8.9,4.8,204
543,554,0.5,131,9.2,5.0,208
544,555,0.5,130,9.2,4.9,207
545,556,0.5,129,9.2,4.8,213
546,557,0.5,129,9.2,4.6,217
547,558,0.5,127,9.2,4.5,223
548,559,0.5,122,9.3,4.5,223
549,560,0.5,118,9.6,4.5,229
550,561,0.5,112,9.9,4.4,236
551,562,0.5,107,9.9,4.1,241
552,563,0.5,106,9.9,4.5,244
553,564,0.5,104,9.9,5.1,243
554,565,0.5,100,9.9,5.4,242
555,566,0.5,103,9.9,5.4,243
556,567,0.5,114,8.9,5.0,249
557,568,0.7,103,9.9,5.0,252
558,569,0.8,95,10.1,5.8,246
559,570,0.8,94,10.1,5.9,250
560,571,0.8,93,10.1,5.8,253
561,572,0.8,92,10.1,5.6,252
562,573,0.8,90,10.0,5.3,250
563,574,0.9,89,10.0,5.2,247
564,575,0.9,88,10.0,5.3,244
565,576,0.9,95,9.9,5.8,239
566,577,1.0,120,9.9,7.2,231
567,578,1.1,125,9.8,7.5,228
568,579,1.1,125,9.8,7.5,226
569,580,1.1,124,9.7,7.3,227
570,581,1.1,127,9.7,7.1,230
571,582,1.1,133,9.6,7.1,233
572,583,1.0,125,9.9,7.4,226
573,584,1.0,123,9.8,7.3,225
574,585,1.0,123,9.8,7.1,227
575,586,1.0,126,9.7,7.0,230
576,587,1.1,131,9.7,7.1,232
